,edit_history_tweet_ids,id,text
25,['1597368514293252099'],1597368514293252099,#nowplaying good #music your best #hits and your #fav - Listen to  #Black - Wonderful Life - #: https://t.co/b8hIkYzqF2 #popmusic
26,['1597368510711304200'],1597368510711304200,"#Nowplaying Chaotic Past by Twizm Whyte Piece at https://t.co/HzbDVXm2Qi #new #hiphop #music #promo #link https://t.co/Rm3J8EUBcX
#follow #subscribe #content #hiphop #rap #twpnation #twizmwhytepiece #spotify #youtube #applemusic #onlyfans #musica #Музыка #音楽"
27,['1597368505346805760'],1597368505346805760,"...... - https://t.co/pZtQfv19ls
#hoodgrind #hiphop #music #breakingnews #hiphopnews #Barsisback #sports #BattleRap #BattleRapTawk #rap #Urltv #15mofe #Hiphopisreal #Battleraptrap #Blackcompassmedia #15MOFERADIO #smack #rapper #newmusic #hiphopmusic #rapmusic #rnb #dj ... https://t.co/uLOK0u1cmI"
28,['1597368504671694848'],1597368504671694848,#rap #music #coverart #ufobinky #newdrop https://t.co/eMbKfDrnEm
29,['1597368490704322561'],1597368490704322561,"🤙🏽The Karma Head x @byvinci_io 12/12 Hybrid Collection website is live 👉🏽https://t.co/40PHuno8i7

What you can find👇🏽
1. The #music 
2. The art x @designbyjake_ 
3. Shares for Patrons 
4. Our Partners 
5. The Whitepaper 

#NewProfilePic #DigitalCollectible #digitalcollectibles"
30,['1597368476251074560'],1597368476251074560,"Hi #ENS #FAM👋👀💖

What's your favourite music #FREN

#rock #funk #soul #punk #hiphop #metal #rocknroll #dance #disco #pop #blues #folkmusic #hippy

If music be the food of love❤️ 
play on
soulgirl.eth
play on

#ensdomains @ensdomains @opensea @ensvision #Web3 #music #Ethereum https://t.co/rSoULkvfDx"
31,['1597368459758706689'],1597368459758706689,"今日の気分は…

#kojimatakahiroChannel
小島嵩弘ツイキャス&amp;ワンマンライブ@赤坂SO-DA https://t.co/tQZxgso7t9 @YouTubeより

#Youtube #YouTubeMusic #Live #ユーチューブ #ツイキャス #ライブ #Music #音楽 #シンガーソングライター #singersongwriter #今日の気分 #todaysfeelings #新譜発売中"
32,['1597368422836441089'],1597368422836441089,"#nowplaying The Notorious B.I.G., Puffy, Mase - Mo Money Mo Problems  LISTEN HERE: https://t.co/HTFzlUyvlK  #standup #comedy #hilarious #followus #music"
33,['1597368420357767170'],1597368420357767170,"🤙🏽The Karma Head x @byvinci_io 12/12 Hybrid Collection website is live 👉🏽https://t.co/40PHun75g7

What you can find👇🏽
1. The #music 
2. The art x @designbyjake_ 
3. Shares for Patrons 
4. Our Partners 
5. The Whitepaper 

#NewProfilePic #DigitalCollectible #digitalcollectibles"
34,['1597368418000572416'],1597368418000572416,"check out my FREE onlyfans, https://t.co/PJutTvvCPS #sexy #pussy #tattoos #oldermenonly #work #friday #music #idontcareanymore #thisjobisboring #fml #hustle #cheesecake #cake #thatbootytho #wyo #dancer #sunshine #girls #men #fun #subscribe #lifeoftheparty #smoke #hunting #china https://t.co/i5w1erru0G"
35,['1597368386174189569'],1597368386174189569,"🤙🏽The Karma Head x @byvinci_io 12/12 Hybrid Collection website is live 👉🏽https://t.co/40PHun75g7

What you can find👇🏽
1. The #music 
2. The art x @designbyjake_ 
3. Shares for Patrons 
4. Our Partners 
5. The Whitepaper 

#NewProfilePic #DigitalCollectible #digitalcollectibles"
36,['1597368322429157376'],1597368322429157376,"check out my FREE onlyfans, https://t.co/PJutTvvCPS #sexy #pussy #tattoos #oldermenonly #work #friday #music #idontcareanymore #thisjobisboring #fml #hustle #cheesecake #cake #thatbootytho #wyo #dancer #sunshine #girls #men #fun #subscribe #lifeoftheparty #smoke #hunting #china https://t.co/FUpNrsAfjE"
37,['1597368320356978688'],1597368320356978688,"#NowPlaying 🎶🎵 On 🐦@RDTVF : 

🎶📀🎶🎵 Fleshtronic 🇩🇪
🎶Wire-Should 🎶 
🐦 @Fleshtronic1

#rtitbot #TuneIn📡 🌍🌏https://t.co/kSaWxc9x8T 👀 SUPPORTS #ARTISTS ACROSS THE #MUSIC #UNIVERSE!!💫🎧  

🔰🔰CLICK ME 🔰🔰"
38,['1597368289868451840'],1597368289868451840,"#NowPlaying On #HotxxMagOnlineRadio Macc Tiger - Heels
Visit: https://t.co/j9qfBFwLs5
Submit your music for rotation!
Email: HotxxMagOnlineRadio@gmail.com
#OnlineRadioStation #Music #Radio #IndieArtistMacc Tiger https://t.co/k22sCCIjiE"
39,['1597368284856614912'],1597368284856614912,"#magazine #TIME #THIS IS #MUSIC #HALSEY 2022 @TIME

https://t.co/T1emDMR7VY"
40,['1597368274668355585'],1597368274668355585,"Posted a new song: ""So Heavy"" https://t.co/OAgxinHTqp #music https://t.co/i245gdieEM"
41,['1597368228073832450'],1597368228073832450,"#nowplaying Rave On &amp; Mitcry - Eternity (Extended Mix)
Clic aqui: https://t.co/ylmewg4Z2n
#music #musica #djs #deejays #edm #americalatina #talent #talento"
42,['1597368191675781122'],1597368191675781122,MARTIN #LiveOnAir        🎶🎵 Stoned Mazes 🇲🇽  Killjoy 📡  🌎🌍🌏    📀 #MUSIC    @stonedmazes             #RDT supports #Artists around the #MUSIC #UNIVERSE     #Listen https://t.co/f56KY71jVE
43,['1597368187405803520'],1597368187405803520,"check out my FREE onlyfans, https://t.co/PJutTvdtBK #sexy #pussy #tattoos #oldermenonly #work #friday #music #idontcareanymore #thisjobisboring #fml #hustle #cheesecake #cake #thatbootytho #wyo #dancer #sunshine #girls #men #fun #subscribe #lifeoftheparty #smoke #hunting #china https://t.co/rLg7DTOo3F"
44,['1597368142673616896'],1597368142673616896,"Posted a new song: ""It Aint Easy Being Me 2"" https://t.co/zquA7pfhBS #music https://t.co/i245gdieEM"
45,['1597368130568945664'],1597368130568945664,Now playing Oscarito - Dime que tu quieres de mi.mp3 by  #music #radio #lovesongs #remix #bestsong #goodmusic #iheartradio #badbunny #daddyyanke #elalfa #karolg #salsa #merengue #bachata #reggaetton  #elnuevozol #lamega #ozuna #rauwalejandro #musica #romeosantos #rauwalejandro...
46,['1597368118204039168'],1597368118204039168,"Now Playing, Don &amp; Dewey — Stretchin' Out from Soul City Los Angeles: West Coast Gems from the Dawn of Soul Music #music #"
47,['1597368099287990273'],1597368099287990273,RETWEET THIS! #MUSIC #VIDEOS #CLASSIC #SHOW https://t.co/nzK01jEqzK
48,['1597368094166507521'],1597368094166507521,"https://t.co/nwELxVeGz7
#music #TurkishMusic #RoughGuidetoTurkishCafé #WorldMusic #RoughGuides #WorldMusicNetwork #Compilations #MüslümGürses #SelimSesler #HüsnüŞenlendirici #LaçoTayfa #Sultana #SezenAksu #BurhanÖçal #ChengisMehdipour #tuerkiye"
49,['1597368032245972995'],1597368032245972995,"#Now Playing Master KG ft. Burna Boy, Nomcebo - Jerusalema (Remix) 
Listen Live @ https://t.co/XFEDnrqgLI
#Music #Culture #Radio #Nigeria #World"
50,['1597368027175157762'],1597368027175157762,"#nowplaying Danny Perez, Clara Mendes, Brazilian Soul Crew - Cueira (BSC Latin Edit) #less #talk #more #music #australia #urban #goodvibes"
51,['1597368024314658817'],1597368024314658817,#WritingCommunity #writerslift #blog #link #book #poetry #music #shortstories #script #film #movie #creativity #business #socialmedia #digitalmarketing #affiliatemarketing #follow #retweet Name your favorite #art https://t.co/mOEUC897rd
52,['1597368022549032960'],1597368022549032960,"Happy birthday to Masayoshi Yamashita, bassist of the Japanese heavy metal band Loudness !! 🥳🤘
#Loudness #MasayoshiYamashita #bassist #HeavyMetal #rock #Metal #music #band 

https://t.co/KFQHtlfEQt"
53,['1597368009324171264'],1597368009324171264,"#NowPlaying DJ DYRON - TROPIQUE MIX
#Antilles #Mixe #DJ #Deejay #Radio #Webradio#Tropiquesmix #Music  @TropiquesFm 

En écoute ici : https://t.co/4ZGlMDAPfS

En écoute ici :https://t.co/WqlabkGb5a https://t.co/ktJDdmHbps"
54,['1597367990429044736'],1597367990429044736,"Posted a new song: ""All I Do All I Got 4"" https://t.co/o5U7f23qQi #music https://t.co/i245gdiMuk"
55,['1597367971873443840'],1597367971873443840,"@HennessySnowNYC Real #music to relate to. Camo K do it 4 For the people! 🌬🔥💨
#spotify #applemusic 

https://t.co/XFhfcnFYTa

https://t.co/oUSAZqXP86 https://t.co/C52RXbjs3z"
56,['1597367968081809408'],1597367968081809408,@coybarker Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/jKb1z4O8jf
57,['1597367968044044288'],1597367968044044288,"北海道札幌市から音のない音楽情報番組をお届け!
コアなファンから初心者まで楽しめるコミュニティ番組

https://t.co/uZ5OCS1LHv

#showroom
#sapporo
#hokkaido
#music

#北海道
#札幌
#音楽
#トーク
#ライブ"
58,['1597367912637267968'],1597367912637267968,"En mi canal de Youtube podéis ver este tema creado por mi: 

https://t.co/B47jmQ3Gse

#beat #beats #beatmaker #musicproduction #musicproducers #beatmaker #beatmaking #beatmakers #beatstars #producciónmusical #music #musica #productoresmusicales https://t.co/pQ3DdRCe0Y"
59,['1597367911743885313'],1597367911743885313,@HonaCostello Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/GkcjPpU8NC
60,['1597367905120813057'],1597367905120813057,"SLE Radio 2: Halleys Comet by Magon! Tune in now:  https://t.co/XOiGnqOlRv or check out our ANDROID and IOS APPS.   #Rockmusic #Rock #Metal #Alternative
.
.
.
#sleradio2 #sleradio #rock #music #metal #punk"
61,['1597367901514010625'],1597367901514010625,"#MowPlaying I Want You Back by Jackson 5 #Music #Playlist 
https://t.co/vHV56ILmyE"
62,['1597367858882912256'],1597367858882912256,"#Music Keep Lovin You by @Dave_Hollister  #ListenLive On https://t.co/e8xKQaZNxB
 Buy This Song Now https://t.co/jNPX0594Wh https://t.co/SaPixCG7rp"
63,['1597367856769175552'],1597367856769175552,"#NowPlaying: Bryan Ferry - Slave To Love 
https://t.co/D1Ofr5Gd6I #radio #music #ely"
64,['1597367853497257986'],1597367853497257986,@chapman_pastor @Angelmom337 Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2ucF33T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/EvJRFoxibD
65,['1597367806903091200'],1597367806903091200,So proud of my #baeighs 🖤 I love you all. #jaeighgallagher #streammymusic #indiemusic #13kstreams #forthebest #SpotifyWrapped #music https://t.co/AD4nu80vyi
66,['1597367801827758080'],1597367801827758080,25K CHALLENGE LINK IN BIO - Coming SOON #challenge #makeup #fitness #love #motivation #tiktok #maquiagem #viral #instagram #explore #art #dance #instagood #follow #challengemakeup #workout #fun #like #challengeaccepted #o #make #explorepage #music #maquiagembrasil #training #l https://t.co/jazR8E2GYo
67,['1597367799940526080'],1597367799940526080,@troubledontlast Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/PpUET4xbbw
68,['1597367787135066113'],1597367787135066113,"Charlie DJ Mix #NowPlaying Ilkay Sencan,Dynoro - Rockstar

Charlie DJ Mix: https://t.co/YFctygOFMd
Charlie Broadcast Group: https://t.co/rytaI8x136
Google Play: https://t.co/iyZ3AbJHVD

#dj #music #radio #tunes #hits #onlineradio https://t.co/lKIrHb3hc7"
69,['1597367782101893122'],1597367782101893122,"Charlie Country #NowPlaying Tim Hicks - Whiskey Does

Charlie Country: https://t.co/JoncITFdls
Charlie Broadcast Group: https://t.co/rytaI8x136
Google Play: https://t.co/iyZ3AbJHVD

#country #music #radio #tunes #onlineradio https://t.co/36MhYeAO1g"
70,['1597367773042282499'],1597367773042282499,#affiliate #socialmedia #business #deals #webtalk #linkedin #digitalmarketing #affiliatemarketing #writerscommunity #promote #blog #link #book #poetry #music #shortstories #script #film #movie #creativity #linktree Get help with #twitter #marketing https://t.co/mOEUC897rd
71,['1597367764783710209'],1597367764783710209,"#Country #Music #Radio #internet
Country Radio  LIVE 12 Noon Every Day Irish Time  Dublin City 
https://t.co/zNsTBGk1nG {.Artist} Wade Hayes - Better With My Baby https://t.co/4DWg0r9XnS"
72,['1597367764276154369'],1597367764276154369,"#NowPlaying 
Elmer Adapo - Love The Way (Feat. Zelly Vibes)
Listen Here: https://t.co/0ljlTYbGLX
 #GTVRadio #submit #music"
73,['1597367756202315778'],1597367756202315778,"#LOOKINGFORWARD will feature #music by: @SpraggyOfficial and @PatriceMurrell.

Join @DaGalleryShow with @BenyaminBMB every Tues at 7 PM to 9 PM ET on @Caribbean_Jam #Radio

https://t.co/744M3tXYZb

https://t.co/GlzA1t4O1D

#Follow #DaGallery https://t.co/7E5Ib3Mr8u"
74,['1597367754541391874'],1597367754541391874,"I can't wait to see what happens next! Click the link below and join my struggle!
 
#Shounen #newepisode #music

https://t.co/zKiOAJsI0y https://t.co/i4q89xtPVM"
75,['1597367743028002816'],1597367743028002816,@Spotify Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/Khhcnusc2w
76,['1597367723368947712'],1597367723368947712,LATIN/ Urban PARTY IN NEW YORK 🌃🍾🥂 #nightclub #nightlife #drink #party #music #club #dance #djs #clubs #vip #birthday #birthdaycelebration #newyork #nightparty  #djlife #clublife #vibe #lit #vip #bottleservice #nightout
77,['1597367720399568897'],1597367720399568897,#NowPlaying Public Service Broadcasting - Spitfire - The Eighth Room streaming live 24/7-365! https://t.co/2mfBngjxWI #nashville #music #lounge
78,['1597367704260075521'],1597367704260075521,"MIX music https://t.co/qEfKDnEU45… 
YouTube
チャンネル登録お願いします！
＃睡眠用BGM
#Music for sleep
#Comfortable sleep"
79,['1597367700992434176'],1597367700992434176,"Now playing Legacy - Darling on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC"
80,['1597367687759671297'],1597367687759671297,@DelanoWilson3 Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/QWD75Mgf7E
81,['1597367636144234498'],1597367636144234498,"Here’s a song for you… 

#NowPlaying #Enjoy #Jazz #Music 

🎶🎸🎹🎵🎤🎧🎼 

Since I Fell For You (feat. Al Jarreau) by Bob James

https://t.co/y4P8wgqnmd"
82,['1597367617748336641'],1597367617748336641,@Pastor__West Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/4sWQlEKJVv
83,['1597367613503733762'],1597367613503733762,"Copped the #vinyl for this..

Liv.e | Girl In The Half Pearl https://t.co/he1bEpnmsn

#rnb #neosoul #jazz #hiphop #music #bandcamp @oliveosun https://t.co/X4QHY6rGc0"
84,['1597367564249743364'],1597367564249743364,#RT #PlayingNow 🎼 Flawless Tha Don - ALRIGHT 👊🏽LISTEN NOW #HipHop #classic #Music Want more🔥Black Ltd Radio🎵📶➡️https://t.co/vn5HEwPq7O 🤳🏾 Follow Now 4 Music 24/7!
85,['1597367556398280704'],1597367556398280704,@HonaCostello Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/sphMwIWusL
86,['1597367547762032640'],1597367547762032640,"Now Playing, H Bomb Ferguson — Midnight Ramblin' Tonight from Jiving Jamboree, Vol. 3 #music #"
87,['1597367533321027584'],1597367533321027584,"Tune Into Simply Hits today!🎶

📻Now Playing📻
Water by #Bicep!

🔗https://t.co/panL8LUaVK🔗

#music #radio"
88,['1597367522835185666'],1597367522835185666,#WritingCommunity #writerslift #follow #retweet #blog #link #book #poetry #music #shortstories #script #film #movie #creativity #b2b #business #socialmedia #digitalmarketing #affiliatemarketing What is your favorite #shortfilm https://t.co/mOEUC897rd
89,['1597367510394978306'],1597367510394978306,"#NowPlaying On #HotxxMagOnlineRadio Eddie Bars - Royalty
Visit: https://t.co/j9qfBFfaAx
Submit your music for rotation!
Email: HotxxMagOnlineRadio@gmail.com
#OnlineRadioStation #Music #Radio #IndieArtistEddie Bars https://t.co/3Lq2jlSA99"
90,['1597367503617142784'],1597367503617142784,https://t.co/oYJWSsH3VX #sicsense #ebayca #Canada #hiphop #ebay #rare #vinyl #vinylrecords #vinyladdict #forsale #vinylcommunity #giftideas #vinylrecords #vinylcollection #giftideas #ebayfinds #retweet #trendingnow #shopping #gifts #smallbiz #ecommerce #vinyljunkie #music
91,['1597367490086326272'],1597367490086326272,@Spotify Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/Pl1Rly6bSO
92,['1597367476643307523'],1597367476643307523,"@anonym_404_  Good! 🧶

 #Music"
93,['1597367471446556678'],1597367471446556678,"Now Playing Jekalyn Carr - I LOVE THE WAY YOU LOVE ME  24/7 Christian Music and Live shows ""Download the Anointed Radio App and check out https://t.co/4qFUbkEN5i"" #lasvegas #gospel #CHH #Hillsong #Radio #Trendingnow #hendersonnv #nevada #music #Jesus #God #losangeles #Sanfra"
94,['1597367470406324225'],1597367470406324225,RT &amp; JOIN US ;-) On air now on Museboat Live at https://t.co/2sWHrmKLxe: ROBERT JAMES - A universe is a dangerous place https://t.co/jDdTrKDnbf @ROBERTJ06358757 Request this song for airplay again at https://t.co/0gkTJBU5Kc #music https://t.co/jlT0seQfi1
95,['1597367452882849792'],1597367452882849792,"Oxygen 💜 by MISTIKA Vibz ⏯ https://t.co/xdsej6jw0I
#lofihiphop #lofi #hiphop #Tropical #spotify #beats #instrumentals #studymusic #lofiartist #love #zen #chilloutmusic #lofimusic #chillvibes #lofibeats #lofivibes #chillmusic #chillhop #music #jazzhop #chill https://t.co/fG01taTZWn"
96,['1597367430791106560'],1597367430791106560,"Heard ten thousand whispering and nobody listening. Heard one person starve, I heard many people laughing. Heard the song of a poet who died in the gutter. 

― Bob Dylan, A Hard Rain's A-Gonna Fall
#Music Patti Smith performs https://t.co/3PhKblYIlY"
97,['1597367426882351104'],1597367426882351104,"Funky Synthness WIP
https://t.co/zvmPgNLqUH

#retrowave #synthwave #electrowave #electropop #wip #music #musician #synthesizer #bitwig"
98,['1597367416618897409'],1597367416618897409,@dave_leinad @benneychab Did You Miss My #JustATouchof_J 's Weekly #Affirmation? I'm Calling This One 'Show &amp; Tell!' https://t.co/ITA2uco01T  @MaknLovNvKitchn @Justatouchof_J Download my JustATouchof_J #mobileapp👂🏾my #podcast #linkinbio #chef #fitness #music #blog #God #Affirmations #disbelief #jesus https://t.co/hZ6vozC1jk
99,['1597367403343941633'],1597367403343941633,#NowPlaying Yahweh (Studio Version) CLICK WEBSITE TO LISTEN https://t.co/bBF8fSd07z @JonathanKArchie #Radio #Airplay #GospelMusic #Fresno #California @adamology1 #Music
